Date,Name,Year,id,original_title,imdb_id,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full
2021-12-28,To Be or Not to Be,1942,198,To Be or Not to Be,tt0035446,en,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",8.617,1200000,"Comedy, War",,1942-03-05,1500000,99,"en, de",7.91,532,United Artists,US,"English, German"
2021-12-28,Rebels of the Neon God,1992,0,0,,,,,,,,,,,,,,,,
2021-12-28,Cinema Paradiso,1988,11216,Nuovo Cinema Paradiso,tt0095765,it,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",42.364,5000000,"Drama, Romance",,1988-11-17,11990401,124,it,8.458,3509,"TF1 Films Production, RAI, Les Films Ariane, Cristaldifilm, Forum Picture","FR, IT",Italian
2021-12-29,The Man Who Stole the Sun,1979,59352,太陽を盗んだ男,tt0194426,ja,"A high school science teacher is the butt of all his students' jokes, until their bus is hijacked on a school trip. But something more sinister lurks beneath the surface: he's building an atomic bomb in his apartment.",4.423,0,"Comedy, Crime, Thriller, Action, Science Fiction",,1979-10-06,0,147,ja,7.1,27,"Kitty Films, Tristone Entertainment Inc.",JP,Japanese
2021-12-29,I Am Cuba,1964,32015,Soy Cuba,tt0058604,es,Four vignettes about the lives of the Cuban people set during the pre-revolutionary era.,7.915,0,Drama,,1964-10-26,0,140,"en, es",7.81,150,"Mosfilm, ICAIC","CU, SU","English, Spanish"
2021-12-29,Anatomy of a Murder,1959,93,Anatomy of a Murder,tt0052561,en,"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret.",14.37,2000000,"Crime, Drama, Mystery, Thriller",,1959-07-01,8000000,161,"en, it",7.858,757,Columbia Pictures,US,"English, Italian"
2021-12-30,The Given Word,1962,59990,O Pagador de Promessas,tt0056322,pt,"Zé is a very poor man whose most prized possession is his donkey. When his donkey falls terminally ill, Zé makes a promise to Saint Bárbara: If his donkey recovers, he will carry a cross - like Jesus - all the way from his city to Saint Bárbara's church, in the state capital. Upon the recover of his donkey, Zé leaves on his journey. He makes it to the church, but the priest refuses to accept the cross once he discovers the context of Zé's promise.",4.662,0,Drama,,1962-04-17,0,98,pt,8.09,89,Cinedistri,BR,Portuguese
2021-12-31,"Quo Vadis, Aida?",2020,728118,"Quo Vadis, Aida?",,,,,,,,,,,,,,,,
2021-12-31,Dersu Uzala,1975,9764,Дерсу Узала,tt0071411,ru,"A military explorer meets and befriends a Goldi man in Russia’s unmapped forests. A deep and abiding bond evolves between the two men, one civilized in the usual sense, the other at home in the glacial Siberian woods.",12.248,4000000,"Action, Adventure, Drama",,1975-08-02,0,141,ru,8.086,389,"Mosfilm, Daiei Film, Atelier 41","JP, SU",Russian
2022-01-01,The Funeral,1996,21612,The Funeral,tt0116378,en,The story concerns the funeral of one of three brothers in a family of gangsters that lived in New York in 1930s. Details of the past of the brothers and their families are shown through a series of flashbacks.,5.302,12500000,Crime,,1996-01-26,1227324,99,"it, en",6.856,132,C&P Productions,US,"Italian, English"
2022-01-03,Sans Soleil,1983,1563,Sans soleil,tt0084628,fr,"""He wrote me..."" A woman narrates the thoughts of a world traveler, meditations on time and memory expressed in words and images from places as far-flung as Japan, Guinea-Bissau, Iceland, and San Francisco.",7.934,0,Documentary,,1983-02-15,30878,100,fr,7.482,193,Argos Films,FR,French
2022-01-05,Carlito's Way,1993,6075,Carlito's Way,tt0106519,en,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him, and lead a better life outside NYC.",27.848,30000000,"Crime, Thriller, Drama",,1993-11-10,63848322,144,"en, es",7.826,2635,"Universal Pictures, Epic Productions, Bregman/Baer Productions",US,"English, Spanish"
2022-01-10,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,496,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,tt0443453,en,"Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture.",16.345,18000000,Comedy,http://www.boratmovie.com/,2006-11-01,262552893,84,"en, he, hy, pl, ro",6.736,4555,"20th Century Fox, Dune Entertainment, Major Studio Partners, Everyman Pictures, One America, Four by Two Films","GB, US","English, Hebrew, Armenian, Polish, Romanian"
