Date,Name,Year,id,original_title,imdb_id,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full
2021-05-01,Austin Powers in Goldmember,2002,818,Austin Powers in Goldmember,tt0295178,en,"The world's most shagadelic spy continues his fight against Dr. Evil. This time, the diabolical doctor and his clone, Mini-Me, team up with a new foe—'70s kingpin Goldmember. While pursuing the team of villains to stop them from world domination, Austin gets help from his dad and an old girlfriend.",23.458,63000000,"Comedy, Crime, Science Fiction",http://www.austinpowers.com/,2002-07-26,296938801,93,"en, ja, de, fr",5.991,2661,"New Line Cinema, Eric's Boy, Team Todd, Moving Pictures, Gratitude International",US,"English, Japanese, German, French"
2021-05-01,Austin Powers: The Spy Who Shagged Me,1999,817,Austin Powers: The Spy Who Shagged Me,tt0145660,en,"When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo,’ Austin must return to the swingin' '60s himself - with the help of American agent, Felicity Shagwell - to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions to try to save the world in his own unbelievably groovy way.",39.399,33000000,"Adventure, Comedy, Crime, Science Fiction",,1999-06-08,312016928,95,"de, en",6.253,2814,"New Line Cinema, Eric's Boy",US,"German, English"
2021-05-01,Austin Powers: International Man of Mystery,1997,816,Austin Powers: International Man of Mystery,tt0118655,en,"As a swingin' fashion photographer by day and a groovy British superagent by night, Austin Powers is the '60s' most shagadelic spy, baby! But can he stop megalomaniac Dr. Evil after the bald villain freezes himself and unthaws in the '90s? With the help of sexy sidekick Vanessa Kensington, he just might.",37.275,16500000,"Science Fiction, Comedy, Crime",,1997-05-02,67711748,94,en,6.537,2834,"New Line Cinema, Capella International, Eric's Boy","DE, US",English
2021-05-01,The Sixth Sense,1999,745,The Sixth Sense,tt0167404,en,"Following an unexpected tragedy, a child psychologist named Malcolm Crowe meets an nine year old boy named Cole Sear, who is hiding a dark secret.",34.035,40000000,"Mystery, Thriller, Drama",,1999-08-06,672806292,107,"la, es, en",7.94,9950,"Spyglass Entertainment, The Kennedy/Marshall Company, Hollywood Pictures, Barry Mendel Productions",US,"Latin, Spanish, English"
2021-05-01,Donnie Darko,2001,141,Donnie Darko,tt0246578,en,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",33.08,6000000,"Fantasy, Drama, Mystery",,2001-10-24,7500000,114,en,7.791,10770,"Pandora Cinema, Adam Fields Productions, Gaylord Films, Flower Films",US,English
2021-05-01,Despicable Me 2,2013,93456,Despicable Me 2,tt1690953,en,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,165.773,76000000,"Animation, Comedy, Family",,2013-06-26,970761885,98,en,6.913,10026,"Universal Pictures, Illumination",US,English
2021-05-01,X-Men: Days of Future Past,2014,127585,X-Men: Days of Future Past,tt1877832,en,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,77.315,250000000,"Action, Adventure, Science Fiction",https://www.20thcenturystudios.com/movies/x-men-days-of-future-past,2014-05-15,747862775,132,"en, fr, ru, vi",7.526,13752,"20th Century Fox, The Donners' Company, Bad Hat Harry Productions, Simon Kinberg Productions",US,"English, French, Russian, Vietnamese"
2021-05-01,Prisoners,2013,146233,Prisoners,tt1392214,en,"Keller Dover faces a parent's worst nightmare when his 6-year-old daughter, Anna, and her friend go missing. The only lead is an old motorhome that had been parked on their street. The head of the investigation, Detective Loki, arrests the driver, but a lack of evidence forces Loki to release his only suspect. Dover, knowing that his daughter's life is at stake, decides that he has no choice but to take matters into his own hands.",49.797,46000000,"Drama, Thriller, Crime",https://www.warnerbros.com/movies/prisoners,2013-09-18,122126687,153,en,8.067,9713,"Warner Bros. Pictures, Summit Entertainment, Alcon Entertainment, Madhouse Entertainment, 8:38 Productions",US,English
2021-05-01,Minions,2015,211672,Minions,tt2293640,en,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",46.699,74000000,"Family, Animation, Adventure, Comedy",http://www.minionsmovie.com/,2015-06-17,1156730962,91,en,6.4,9572,"Universal Pictures, Illumination",US,English
2021-05-01,Freaks of Nature,2015,218784,Freaks of Nature,tt1817771,en,"In the town of Dillford, humans, vampires and zombies were all living in peace - until the alien apocalypse arrived. Now three teenagers-one human, one vampire, and one zombie-have to team up to figure out how to get rid of the visitors.",11.557,0,"Science Fiction, Comedy, Horror",,2015-10-30,70958,92,en,6.159,464,"Columbia Pictures, Sony Pictures",US,English
