nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,id_directors
nm0003506,James Mangold,1963,\N,"producer,director,writer","tt3315342,tt1950186,tt0358273,tt0113280",nm0003506
nm0003620,Kevin Smith,1970,\N,"producer,actor,writer","tt0118842,tt0120655,tt0424345,tt0109445",nm0003620
nm0003638,F.W. Murnau,1888,1931,"director,writer,producer","tt0012973,tt0018455,tt0013442,tt0022458",nm0003638
nm0004056,Andrew Stanton,1965,\N,"writer,actor,producer","tt2277860,tt0120623,tt0910970,tt0266543",nm0004056
nm0004217,André Øvredal,\N,\N,"director,writer,producer","tt5715066,tt1740707,tt3289956,tt4583446",nm0004217
nm0004303,Gavin Hood,1963,\N,"actor,producer,director","tt5431890,tt2057392,tt0178860,tt0468565",nm0004303
nm0004306,George Miller,1945,\N,"producer,writer,director","tt0079501,tt0366548,tt0082694,tt1392190",nm0004306
nm0004410,Mark Neveldine,1973,\N,"director,actor,producer","tt0479884,tt0964539,tt1121931,tt1034032",nm0004410
nm0004693,Lou Adler,1933,\N,"soundtrack,producer,music_department","tt0073629,tt0120890,tt0090329,tt0078446",nm0004693
nm0004716,Darren Aronofsky,1969,\N,"producer,director,writer","tt5109784,tt0414993,tt0138704,tt0180093",nm0004716
nm0005069,Spike Jonze,1969,\N,"producer,writer,director","tt0120601,tt0386117,tt0120188,tt1798709",nm0005069
nm0005101,Harmony Korine,1973,\N,"director,writer,actor","tt0113540,tt2101441,tt0119237,tt1488163",nm0005101
nm0005124,John Lasseter,1957,\N,"producer,writer,director","tt0114709,tt0120363,tt0120623,tt0317219",nm0005124
nm0005139,Mike Leigh,1943,\N,"director,writer,miscellaneous","tt1045670,tt0383694,tt0117589,tt1431181",nm0005139
nm0005222,Sam Mendes,1965,\N,"producer,director,miscellaneous","tt0959337,tt0257044,tt1074638,tt8579674",nm0005222
nm0005363,Guy Ritchie,1968,\N,"writer,director,producer","tt0208092,tt6139732,tt0120735,tt0988045",nm0005363
nm0005366,Jay Roach,1957,\N,"producer,director,writer","tt6394270,tt3203606,tt0109303,tt0118655",nm0005366
nm0005367,Brian Robbins,1963,\N,"producer,actor,writer","tt0174432,tt0477051,tt0393162,tt0090444",nm0005367
nm0005436,John Singleton,1968,2019,"producer,writer,director","tt0430105,tt0255819,tt0162650,tt0101507",nm0005436
nm0005509,Jon Turteltaub,1963,\N,"producer,director,writer","tt0114924,tt0106611,tt0368891,tt0117333",nm0005509
nm0005540,Keenen Ivory Wayans,1958,\N,"writer,producer,actor","tt0430304,tt0095348,tt0098830,tt0381707",nm0005540
