,index,imdb_rating,imdb_total_votes,title,release_year,original_language,overview,budget,genres,release_date,revenue,runtime,spoken_languages,tmdb_rating,tmdb_total_votes,production_companies,production_countries,Watched,directors,writers,name_year,Date,Name,Year,Letterboxd URI,my_rating
295,295,6.6,125500,The 13th Warrior,1999,en,"A Muslim ambassador exiled from his homeland, Ahmad ibn Fadlan finds himself in the company of Vikings. While the behavior of the Norsemen initially offends ibn Fadlan, the more cultured outsider grows to respect the tough, if uncouth, warriors. During their travels together, ibn Fadlan and the Vikings get word of an evil presence closing in, and they must fight the frightening and formidable force, which was previously thought to exist only in legend.",160000000.0,"['Adventure', ' History', ' Action']",1999-08-13,61698899.0,102.0,"['ar', ' da', ' en', ' la', ' no', ' es', ' sv']",6.6,1516.0,['Touchstone Pictures'],['US'],1,,,The 13th Warrior 1999,2021-09-07,The 13th Warrior,1999.0,https://boxd.it/27Ss,6.0
296,296,6.7,513256,The Matrix Revolutions,2003,en,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,150000000.0,"['Adventure', ' Action', ' Thriller', ' Science Fiction']",2003-11-05,424988211.0,129.0,"['en', ' fr']",6.699,8445.0,"['Village Roadshow Pictures', ' NPV Entertainment', ' Silver Pictures']",['US'],1,,,The Matrix Revolutions 2003,2021-09-07,The Matrix Revolutions,2003.0,https://boxd.it/2a12,6.0
297,297,6.6,308136,The Expendables 2,2012,en,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",100000000.0,"['Action', ' Adventure', ' Thriller']",2012-08-08,314975955.0,103.0,['en'],6.305,5906.0,"['Nu Image', ' Millennium Films', ' Lionsgate']",['US'],1,Simon West,,The Expendables 2 2012,2021-09-07,The Expendables 2,2012.0,https://boxd.it/2CPE,5.0
298,298,6.6,173265,The Heat,2013,en,"Uptight and straight-laced, FBI Special Agent Sarah Ashburn is a methodical investigator with a reputation for excellence--and hyper-arrogance. Shannon Mullins, one of Boston P.D.'s ""finest,"" is foul-mouthed and has a very short fuse, and uses her gut instinct and street smarts to catch the most elusive criminals. Neither has ever had a partner, or a friend for that matter. When these two wildly incompatible law officers join forces to bring down a ruthless drug lord, they become the last thing anyone expected: Buddies.",43000000.0,"['Action', ' Comedy', ' Crime']",2013-06-27,158674180.0,117.0,"['en', ' es', ' bg']",6.61,3504.0,"['Ingenious Media', ' Chernin Entertainment', ' Big Screen Productions', ' TSG Entertainment']",['US'],1,Paul Feig,Katie Dippold,The Heat 2013,2021-09-07,The Heat,2013.0,https://boxd.it/4p9a,5.0
299,299,6.6,172058,RED 2,2013,en,Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,84000000.0,"['Action', ' Comedy', ' Crime', ' Thriller']",2013-07-18,148100000.0,116.0,"['en', ' fr', ' ru']",6.521,3520.0,"['DC Comics', ' Di Bonaventura Pictures', ' Summit Entertainment', ' Etalon-Film', ' DC Entertainment', ' Saints LA', ' NeoReel']","['CA', ' FR', ' US']",1,Dean Parisot,,RED 2 2013,2021-09-07,RED 2,2013.0,https://boxd.it/4E4E,6.0
300,300,6.6,273680,John Carter,2012,en,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",250000000.0,"['Action', ' Adventure', ' Science Fiction']",2012-03-07,284139100.0,132.0,['en'],6.255,4911.0,['Walt Disney Pictures'],['US'],1,Andrew Stanton,,John Carter 2012,2021-09-07,John Carter,2012.0,https://boxd.it/FQ2,5.0
301,301,6.9,228584,Rio,2011,en,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",90000000.0,"['Animation', ' Adventure', ' Comedy', ' Family']",2011-04-03,484635760.0,96.0,"['en', ' pt']",6.702,5749.0,"['20th Century Fox', ' Blue Sky Studios', ' 20th Century Fox Animation']",['US'],1,Carlos Saldanha,,Rio 2011,2021-09-07,Rio,2011.0,https://boxd.it/NKc,3.0
302,302,5.5,285749,Green Lantern,2011,en,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",200000000.0,"['Adventure', ' Action', ' Thriller', ' Science Fiction']",2011-06-16,219851172.0,114.0,['en'],5.158,6409.0,"['Warner Bros. Pictures', ' De Line Pictures', ' DC Entertainment']",['US'],1,Martin Campbell,,Green Lantern 2011,2021-09-07,Green Lantern,2011.0,https://boxd.it/QN4,5.0
303,303,6.8,363876,Men in Black 3,2012,en,"Agents J and K are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K to save his partner, the agency, and the future of humankind.",225000000.0,"['Action', ' Comedy', ' Science Fiction']",2012-05-23,624026776.0,106.0,['en'],6.491,9123.0,"['Columbia Pictures', ' Amblin Entertainment', ' Imagenation Abu Dhabi FZ', ' Hemisphere Media Capital', ' Parkes+MacDonald Image Nation']","['AE', ' US']",1,Barry Sonnenfeld,,Men in Black 3 2012,2021-09-07,Men in Black 3,2012.0,https://boxd.it/103U,5.0
304,304,6.2,184846,The Karate Kid,2010,en,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",40000000.0,"['Action', ' Adventure', ' Drama', ' Family']",2010-06-10,359126022.0,140.0,"['zh', ' en']",6.504,5147.0,"['Columbia Pictures', ' Sony Pictures', ' Overbrook Entertainment', ' Jerry Weintraub Productions', ' China Film Group', ' Zwart Arbeid']","['CN', ' US']",1,Harald Zwart,,The Karate Kid 2010,2021-09-07,The Karate Kid,2010.0,https://boxd.it/15HA,6.0
305,305,6.8,319149,The Book of Eli,2010,en,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",80000000.0,"['Action', ' Thriller', ' Science Fiction']",2010-01-11,157107755.0,118.0,['en'],6.777,5284.0,"['Alcon Entertainment', ' Silver Pictures']",['US'],1,,Gary Whitta,The Book of Eli 2010,2021-09-07,The Book of Eli,2010.0,https://boxd.it/1Dnu,5.0
306,306,5.8,378372,2012,2009,en,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",200000000.0,"['Action', ' Adventure', ' Science Fiction']",2009-10-10,791217826.0,158.0,"['de', ' zh', ' es', ' fr', ' hi', ' en', ' it', ' la', ' pt', ' ru', ' bo']",5.802,10751.0,"['Columbia Pictures', ' Centropolis Entertainment', ' The Mark Gordon Company', ' Farewell Productions']",['US'],1,Roland Emmerich,,2012 2009,2021-09-07,2012,2009.0,https://boxd.it/1OE2,2.0
307,307,6.3,88148,Sky High,2005,en,"Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",35000000.0,"['Adventure', ' Comedy', ' Family']",2005-07-29,86369815.0,100.0,['en'],6.238,1983.0,"['Walt Disney Pictures', ' Gunn Films', ' Max Stronghold Productions Inc.']",['US'],1,Mike Mitchell,,Sky High 2005,2021-09-07,Sky High,2005.0,https://boxd.it/1TNI,4.0
308,308,8.3,832800,Toy Story 3,2010,en,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",200000000.0,"['Animation', ' Family', ' Comedy']",2010-06-16,1066969703.0,103.0,"['en', ' es']",7.794,12930.0,"['Walt Disney Pictures', ' Pixar']",['US'],1,Lee Unkrich,,Toy Story 3 2010,2022-09-27,Toy Story 3,2010.0,https://boxd.it/1WRe,6.0
309,309,8.1,737371,How to Train Your Dragon,2010,en,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",165000000.0,"['Fantasy', ' Adventure', ' Animation', ' Family']",2010-03-18,494878759.0,98.0,['en'],7.799,11298.0,['DreamWorks Animation'],['US'],1,,,How to Train Your Dragon 2010,2021-09-07,How to Train Your Dragon,2010.0,https://boxd.it/1WRy,7.0
310,310,6.4,482639,Hancock,2008,en,"Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?",150000000.0,"['Fantasy', ' Action']",2008-07-01,629443428.0,92.0,"['en', ' ja']",6.3,8412.0,"['Columbia Pictures', ' Weed Road Pictures', ' Forward Pass', ' Overbrook Entertainment', ' Relativity Media', ' Blue Light', ' GH Three']",['US'],1,Peter Berg,,Hancock 2008,2021-09-07,Hancock,2008.0,https://boxd.it/1Zv6,6.0
311,311,7.4,151852,Green Street Hooligans,2005,en,"After being wrongfully expelled from Harvard University, American Matt Buckner flees to his sister's home in England. Once there, he is befriended by her charming and dangerous brother-in-law, Pete Dunham, and introduced to the underworld of British football hooliganism. Matt learns to stand his ground through a friendship that develops against the backdrop of this secret and often violent world. 'Green Street Hooligans' is a story of loyalty, trust and the sometimes brutal consequences of living close to the edge.",0.0,"['Crime', ' Drama']",2005-09-09,3154346.0,109.0,['en'],7.254,1989.0,['OddLot Entertainment'],"['GB', ' US']",1,Lexi Alexander,,Green Street Hooligans 2005,2022-01-05,Green Street Hooligans,2005.0,https://boxd.it/1ZA6,7.0
312,312,7.4,446499,Back to the Future Part III,1990,en,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",40000000.0,"['Adventure', ' Comedy', ' Science Fiction']",1990-05-25,244527583.0,119.0,['en'],7.455,8994.0,"['Universal Pictures', ' Amblin Entertainment']",['US'],1,Robert Zemeckis,,Back to the Future Part III 1990,2021-09-07,Back to the Future Part III,1990.0,https://boxd.it/2aTS,7.0
313,313,7.6,528945,Rise of the Planet of the Apes,2011,en,"A highly intelligent chimpanzee named Caeser has been living a peaceful suburban life ever since he was born. But when he gets taken to a cruel primate facility, Caeser decides to revolt against those who have harmed him.",93000000.0,"['Thriller', ' Action', ' Drama', ' Science Fiction']",2011-08-03,482860185.0,105.0,['en'],7.278,10221.0,"['20th Century Fox', ' Ingenious Media', ' Dune Entertainment', ' Dune Entertainment III', ' Chernin Entertainment', ' Big Screen Productions']",['US'],1,Rupert Wyatt,,Rise of the Planet of the Apes 2011,2021-09-07,Rise of the Planet of the Apes,2011.0,https://boxd.it/cS4,6.0
314,314,7.6,377425,127 Hours,2010,en,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,18000000.0,"['Adventure', ' Drama', ' Thriller']",2010-11-12,35692920.0,94.0,['en'],7.062,6594.0,"['Fox Searchlight Pictures', ' Warner Bros. Pictures', ' Film4 Productions', ' Cloud Eight Films', ' Pathé', ' Everest Entertainment', ' HandMade Films']","['FR', ' GB', ' US']",1,Danny Boyle,,127 Hours 2010,2021-09-07,127 Hours,2010.0,https://boxd.it/SLa,3.0
315,315,7.9,681296,District 9,2009,en,"Thirty years ago, aliens arrive on Earth. Not to conquer or give aid, but to find refuge from their dying planet. Separated from humans in a South African area called District 9, the aliens are managed by Multi-National United, which is unconcerned with the aliens' welfare but will do anything to master their advanced technology. When a company field agent contracts a mysterious virus that begins to alter his DNA, there is only one place he can hide: District 9.",30000000.0,['Science Fiction'],2009-08-05,210819611.0,112.0,"['af', ' ny', ' st', ' xh', ' zu', ' en']",7.408,8189.0,"['WingNut Films', ' TriStar Pictures', ' Key Creatives', ' Block / Hanson', ' Canadian Film or Video Production Tax Credit (CPTC)', ' The Department of Trade and Industry of South Africa', ' QED International', ' District 9', ' New Zealand Post Digital and Visual Effects Grant']","['US', ' NZ', ' CA', ' ZA']",1,Neill Blomkamp,,District 9 2009,2021-09-07,District 9,2009.0,https://boxd.it/1Iik,7.0
316,316,6.6,210596,EuroTrip,2004,en,"When Scott learns that his longtime cyber-buddy from Berlin is a gorgeous young woman, he and his friends embark on a trip across Europe.",25000000.0,['Comedy'],2004-02-20,20796847.0,93.0,"['en', ' fr', ' it', ' ja', ' de']",6.524,2084.0,"['DreamWorks Pictures', ' The Montecito Picture Company', ' Blue Sea Productions']","['CZ', ' US']",1,,,EuroTrip 2004,2021-09-07,EuroTrip,2004.0,https://boxd.it/1YTQ,6.0
317,317,6.1,163259,Bee Movie,2007,en,"Barry B. Benson, a bee who has just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue us.",150000000.0,"['Family', ' Animation', ' Adventure', ' Comedy']",2007-10-28,287594577.0,91.0,['en'],5.995,4184.0,"['DreamWorks Animation', ' Columbus 81 Productions']",['US'],1,,,Bee Movie 2007,2021-09-07,Bee Movie,2007.0,https://boxd.it/22Vw,3.0
318,318,7.9,546893,The Bourne Identity,2002,en,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy—but who does he work for?",60000000.0,"['Action', ' Drama', ' Mystery', ' Thriller']",2002-06-14,214034224.0,119.0,"['en', ' fr', ' de', ' nl', ' it']",7.4,8065.0,"['Universal Pictures', ' The Kennedy/Marshall Company', ' Hypnotic', ' Kalima Productions GmbH & Co. KG', ' Stillking Films']","['US', ' DE', ' CZ']",1,Doug Liman,,The Bourne Identity 2002,2021-05-29,The Bourne Identity,2002.0,https://boxd.it/26EO,6.0
319,319,7.2,308530,A.I. Artificial Intelligence,2001,en,"David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin.",100000000.0,"['Drama', ' Science Fiction', ' Adventure']",2001-06-29,235926552.0,146.0,['en'],7.03,5362.0,"['DreamWorks Pictures', ' Amblin Entertainment', ' Warner Bros. Pictures', ' Stanley Kubrick Productions']",['US'],1,Steven Spielberg,,A.I. Artificial Intelligence 2001,2021-09-07,A.I. Artificial Intelligence,2001.0,https://boxd.it/29Ve,7.0
320,320,7.2,594413,The Matrix Reloaded,2003,en,"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",150000000.0,"['Adventure', ' Action', ' Thriller', ' Science Fiction']",2003-05-15,738599701.0,138.0,['en'],7.025,9399.0,"['Village Roadshow Pictures', ' NPV Entertainment', ' Silver Pictures']",['US'],1,,,The Matrix Reloaded 2003,2021-09-07,The Matrix Reloaded,2003.0,https://boxd.it/2a1c,4.0
321,321,7.4,651137,Spider-Man 2,2004,en,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well...",200000000.0,"['Action', ' Adventure', ' Fantasy']",2004-06-25,783766341.0,127.0,"['en', ' ru', ' zh']",7.225,13116.0,"['Laura Ziskin Productions', ' Marvel Enterprises']",['US'],1,Sam Raimi,,Spider-Man 2 2004,2021-12-20,Spider-Man 2,2004.0,https://boxd.it/2a88,5.0
322,322,5.6,201718,AVP: Alien vs. Predator,2004,en,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",70000000.0,"['Adventure', ' Science Fiction', ' Action', ' Horror']",2004-08-12,177427090.0,101.0,"['it', ' en']",5.888,3683.0,"['20th Century Fox', ' Impact Pictures', ' Studio Babelsberg', ' Davis Entertainment', ' Stillking Films', ' Brandywine Productions', ' Lonlink Productions', ' Kut Productions', ' Inside Track Films', ' Charenton Productions Limited', ' Revolution Sun Studios']","['DE', ' CA', ' CZ', ' US']",1,Paul W.S. Anderson,,AVP: Alien vs. Predator 2004,2021-09-07,AVP: Alien vs. Predator,2004.0,https://boxd.it/2atU,6.0
323,323,7.2,290224,8 Mile,2002,en,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",41000000.0,"['Music', ' Drama']",2002-11-08,242875078.0,111.0,['en'],7.115,6135.0,"['Imagine Entertainment', ' Mikona Productions GmbH & Co. KG']","['DE', ' US']",1,Curtis Hanson,Scott Silver,8 Mile 2002,2022-09-27,8 Mile,2002.0,https://boxd.it/2bew,6.0
324,324,6.4,171721,Need for Speed,2014,en,"The film revolves around a local street-racer who partners with a rich and arrogant business associate, only to find himself framed by his colleague and sent to prison. After he gets out, he joins a New York-to-Los Angeles race to get revenge. But when the ex-partner learns of the scheme, he puts a massive bounty on the racer's head, forcing him to run a cross-country gauntlet of illegal racers in all manner of supercharged vehicles.",66000000.0,"['Action', ' Crime', ' Drama', ' Thriller']",2014-03-12,203277636.0,132.0,['en'],6.36,3747.0,"['DreamWorks Pictures', ' Reliance Entertainment', ' Bandito Brothers', ' Touchstone Pictures', ' Electronic Arts', ' Revolution Sun Studios']","['FR', ' IN', ' PH', ' GB', ' US']",1,Scott Waugh,,Need for Speed 2014,2021-09-07,Need for Speed,2014.0,https://boxd.it/4p90,5.0
325,325,7.2,215567,The Croods,2013,en,"The prehistoric Croods family live in a particularly dangerous moment in time. Patriarch Grug, his mate Ugga, teenage daughter Eep, son Thunk, and feisty Gran gather food by day and huddle together in a cave at night. When a more evolved caveman named Guy arrives on the scene, Grug is distrustful, but it soon becomes apparent that Guy is correct about the impending destruction of their world.",135000000.0,"['Animation', ' Adventure', ' Family', ' Fantasy', ' Comedy', ' Action']",2013-03-15,587204668.0,98.0,['en'],6.916,6204.0,['DreamWorks Animation'],['US'],1,,,The Croods 2013,2021-09-07,The Croods,2013.0,https://boxd.it/FRE,6.0
326,326,7.0,309739,RED,2010,en,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent, Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants.",58000000.0,"['Action', ' Adventure', ' Comedy', ' Crime', ' Thriller']",2010-10-13,199000000.0,111.0,"['en', ' ru']",6.696,5875.0,"['DC Comics', ' Di Bonaventura Pictures', ' Summit Entertainment']",['US'],1,Robert Schwentke,,RED 2010,2021-09-07,RED,2010.0,https://boxd.it/13uu,6.0
327,327,8.3,1038642,Up,2009,en,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",175000000.0,"['Animation', ' Comedy', ' Family', ' Adventure']",2009-05-28,735099082.0,96.0,['en'],7.941,17733.0,['Pixar'],['US'],1,,,Up 2009,2021-09-07,Up,2009.0,https://boxd.it/1OEc,7.0
328,328,7.5,522970,Juno,2007,en,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.",7500000.0,"['Comedy', ' Drama', ' Romance']",2007-12-05,232372681.0,96.0,['en'],7.04,6314.0,"['Fox Searchlight Pictures', ' Mandate Pictures', ' Mr. Mudd Production', ' Mandate International']",['US'],1,Jason Reitman,Diablo Cody,Juno 2007,2021-09-07,Juno,2007.0,https://boxd.it/210a,4.0
329,329,8.2,244760,The Great Escape,1963,en,"The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocate them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.",4000000.0,"['Adventure', ' Drama', ' History', ' Thriller', ' War']",1963-06-20,11744471.0,173.0,"['en', ' de', ' fr', ' ru']",7.943,2071.0,"['United Artists', ' The Mirisch Company']",['US'],1,John Sturges,,The Great Escape 1963,2021-09-07,The Great Escape,1963.0,https://boxd.it/22kA,8.0
330,330,8.0,510585,The Pursuit of Happyness,2006,en,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,55000000.0,['Drama'],2006-12-14,307077295.0,117.0,"['en', ' cn']",7.902,8554.0,"['Columbia Pictures', ' Overbrook Entertainment', ' Escape Artists', ' Relativity Media']",['US'],1,Gabriele Muccino,Steve Conrad,The Pursuit of Happyness 2006,2021-09-07,The Pursuit of Happyness,2006.0,https://boxd.it/28PE,6.0
331,331,8.3,988706,Toy Story,1995,en,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",30000000.0,"['Animation', ' Adventure', ' Family', ' Comedy']",1995-10-30,373554033.0,81.0,['en'],7.965,15992.0,['Pixar'],['US'],1,John Lasseter,,Toy Story 1995,2022-09-27,Toy Story,1995.0,https://boxd.it/29qA,7.0
332,332,7.9,674653,Shrek,2001,en,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",60000000.0,"['Animation', ' Comedy', ' Fantasy', ' Adventure', ' Family']",2001-05-18,487853320.0,90.0,['en'],7.703,14460.0,"['DreamWorks Pictures', ' Pacific Data Images', ' DreamWorks Animation']",['US'],1,,,Shrek 2001,2021-09-07,Shrek,2001.0,https://boxd.it/29zi,5.0
333,333,7.9,276692,Almost Famous,2000,en,"In 1973, 15-year-old William Miller's unabashed love of music and aspiration to become a rock journalist lands him an assignment from Rolling Stone magazine to interview and tour with the up-and-coming band, Stillwater.",60000000.0,"['Drama', ' Music']",2000-09-15,47386287.0,122.0,['en'],7.487,2253.0,"['Columbia Pictures', ' DreamWorks Pictures', ' Vinyl Films']",['US'],1,Cameron Crowe,Cameron Crowe,Almost Famous 2000,2021-09-07,Almost Famous,2000.0,https://boxd.it/29CQ,6.0
334,334,7.3,567985,Men in Black,1997,en,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent Kay and new recruit Agent Jay find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.",90000000.0,"['Action', ' Adventure', ' Comedy', ' Science Fiction']",1997-07-02,589390539.0,98.0,"['en', ' es']",7.173,12025.0,"['Columbia Pictures', ' Amblin Entertainment', ' Parkes+MacDonald Image Nation']",['US'],1,Barry Sonnenfeld,,Men in Black 1997,2021-09-07,Men in Black,1997.0,https://boxd.it/2a0I,6.0
335,335,6.4,448863,The Day After Tomorrow,2004,en,"After years of increases in the greenhouse effect,  havoc is wreaked globally in the form of catastrophic hurricanes, tornadoes, tidal waves, floods and the beginning of a new Ice Age. Paleoclimatologist, Jack Hall tries to warn the world while also shepherding to safety his son, trapped in New York after the city is overwhelmed by the start of the new big freeze.",125000000.0,"['Action', ' Adventure', ' Science Fiction', ' Thriller']",2004-05-26,552639571.0,124.0,"['en', ' ja', ' fr', ' ar', ' es']",6.485,6882.0,"['20th Century Fox', ' Lions Gate Films', ' Centropolis Entertainment', ' The Mark Gordon Company', "" Mel's Cite du Cinema""]",['US'],1,Roland Emmerich,,The Day After Tomorrow 2004,2021-09-07,The Day After Tomorrow,2004.0,https://boxd.it/2aog,4.0
336,336,7.9,310158,The Untouchables,1987,en,"Young Treasury Agent Eliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jimmy Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war.",25000000.0,"['Crime', ' Drama', ' History', ' Thriller']",1987-06-03,76270454.0,119.0,['en'],7.766,4779.0,['Paramount'],['US'],1,Brian De Palma,,The Untouchables 1987,2021-09-07,The Untouchables,1987.0,https://boxd.it/2b6i,6.0
337,337,8.1,686284,Million Dollar Baby,2004,en,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",30000000.0,['Drama'],2004-12-15,216763646.0,132.0,"['en', ' ga']",7.964,8257.0,"['Lakeshore Entertainment', ' Malpaso Productions', ' Warner Bros. Pictures', ' Epsilon Motion Pictures', ' Albert S. Ruddy Productions']",['US'],1,Clint Eastwood,,Million Dollar Baby 2004,2021-09-07,Million Dollar Baby,2004.0,https://boxd.it/2bdI,7.0
338,338,7.3,381704,Fast Five,2011,en,"Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom.",125000000.0,"['Action', ' Thriller', ' Crime']",2011-04-20,626137675.0,130.0,"['en', ' es', ' pt', ' it']",7.25,6972.0,"['Universal Pictures', ' Original Film', ' One Race']",['US'],1,Justin Lin,,Fast Five 2011,2021-09-07,Fast Five,2011.0,https://boxd.it/BgO,5.0
