imdb_id,averageRating,numVotes,date_watched,title,release_year,original_title,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full,Watched,directors_name,writers_name
tt0072684,8.1,168225,2022-04-20,Barry Lyndon,1975,Barry Lyndon,en,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.",15.055,11000000.0,"Drama, Romance, War",,1975-11-26,198992.0,185.0,"de, fr, en",7.998,2316.0,"Hawk Films, Warner Bros. Pictures, Peregrine","GB, US","German, French, English",0,Stanley Kubrick,
tt0057565,8.4,45167,2022-04-20,High and Low,1963,天国と地獄,ja,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,11.781,250000.0,"Crime, Drama, Mystery, Thriller",,1963-03-01,0.0,142.0,ja,8.331,635.0,"Toho, Kurosawa Production",JP,Japanese,0,Akira Kurosawa,
tt2125608,8.2,68738,2022-04-21,Searching for Sugar Man,2012,Searching for Sugar Man,en,"Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock 'n' roller, Rodriguez. The film won Best Documentary at the 85th Academy Awards.",11.781,1000000.0,"Music, Documentary",http://www.sonyclassics.com/searchingforsugarman/,2012-06-30,3696196.0,85.0,en,7.845,757.0,"Passion Pictures, Red Box Films, Canfield Pictures","FI, ZA, SE, GB, US",English,0,Malik Bendjelloul,
tt0078908,6.8,30992,2022-05-12,The Brood,1979,The Brood,en,"A man tries to uncover an unconventional psychologist's therapy techniques on his institutionalized wife, while a series of brutal attacks committed by a brood of mutant children coincides with the husband's investigation.",12.343,1355000.0,"Horror, Science Fiction",,1979-05-25,5000000.0,92.0,en,6.718,554.0,"New World Pictures, Canadian Film Development Corporation (CFDC), Victor Solnicki Productions, Elgin International Films",CA,English,0,David Cronenberg,David Cronenberg
tt0073705,6.4,21526,2022-05-12,Shivers,1975,Shivers,en,"The residents of a suburban high-rise apartment building are being infected by a strain of parasites that turn them into mindless, sex-crazed fiends out to infect others by the slightest sexual contact.",10.099,179000.0,Horror,,1975-10-10,1000000.0,88.0,en,6.356,504.0,"Canadian Film Development Corporation (CFDC), Cinépix, DAL Productions",CA,English,0,David Cronenberg,David Cronenberg
tt0053198,8.1,118354,2022-05-16,The 400 Blows,1959,Les Quatre Cents Coups,fr,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",13.303,0.0,Drama,,1959-06-03,0.0,99.0,"en, fr",8.085,1745.0,"Les Films du Carrosse, Sédif Productions",FR,"English, French",0,François Truffaut,
tt0086984,6.8,34154,2022-05-17,Body Double,1984,Body Double,en,"After losing an acting role and his girlfriend, Jake Scully finally catches a break: he gets offered a gig house-sitting in the Hollywood Hills. While peering through the beautiful home's telescope one night, he spies a gorgeous woman dancing in her window. But when he witnesses the girl's murder, it leads Scully through the netherworld of the adult entertainment industry on a search for answers—with porn actress Holly Body as his guide.",12.51,10000000.0,"Crime, Mystery, Thriller",,1984-10-25,8801940.0,114.0,en,6.741,576.0,"Columbia Pictures, Delphi II Productions",US,English,0,Brian De Palma,
tt0051201,8.4,125646,2022-05-19,Witness for the Prosecution,1957,Witness for the Prosecution,en,"When Leonard Vole is arrested for the sensational murder of a rich, middle-aged widow, the famous Sir Wilfrid Robarts agrees to appear on his behalf. Sir Wilfrid, recovering from a near-fatal heart attack, is supposed to be on a diet of bland, civil suits—but the lure of the criminal courts is too much for him, especially when the case is so difficult.",9.68,3000000.0,"Drama, Mystery, Crime",,1957-12-17,9000000.0,116.0,"de, en",8.2,1054.0,Edward Small Productions,US,"German, English",0,Billy Wilder,
tt0113834,7.3,581,2022-05-20,August in the Water,1995,水の中の八月,ja,A teenage girl gains supernatural power after an accident and comes to understand her place in the universe.,3.371,0.0,"Science Fiction, Drama, Fantasy",,1995-09-09,0.0,117.0,ja,6.5,14.0,Hill Villa,JP,Japanese,0,Gakuryû Ishii,Gakuryû Ishii
tt0066993,7.8,16494,2022-05-23,The Devils,1971,The Devils,en,"In 17th-century France, Father Urbain Grandier seeks to protect the city of Loudun from the corrupt establishment of Cardinal Richelieu. Hysteria occurs within the city when he is accused of witchcraft by a sexually repressed nun.",9.916,2000000.0,"Drama, History",,1971-07-01,11000000.0,113.0,en,7.482,280.0,Russo Productions,GB,English,0,Ken Russell,
tt0050783,8.1,49326,2022-05-23,Nights of Cabiria,1957,Le notti di Cabiria,it,"Rome, 1957. A woman, Cabiria, is robbed and left to drown by her boyfriend, Giorgio. Rescued, she resumes her life and tries her best to find happiness in a cynical world. Even when she thinks her struggles are over and she has found happiness and contentment, things may not be what they seem.",9.946,0.0,Drama,,1957-10-03,752045.0,110.0,it,8.044,597.0,"Dino de Laurentiis Cinematografica, Les Films Marceau","IT, FR",Italian,0,Federico Fellini,
tt0036868,8.1,64933,2022-05-26,The Best Years of Our Lives,1946,The Best Years of Our Lives,en,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.",9.369,2100000.0,"Drama, Romance, War",,1946-12-25,23650000.0,171.0,en,7.832,489.0,"RKO Radio Pictures, Samuel Goldwyn Productions",US,English,0,William Wyler,
tt0012224,7.7,4410,2022-05-26,The Goat,1921,The Goat,en,"A series of adventures begins when Buster is mistaken for Dead Shot Dan, the evil bad guy.",4.581,0.0,Comedy,,1921-05-15,0.0,23.0,xx,7.297,106.0,"Buster Keaton Productions, Joseph M. Schenck Productions",US,No Language,0,,
tt0076042,7.9,1048,2022-05-29,A Grin Without a Cat,1977,Le fond de l'air est rouge,fr,"French essay film focusing on global political turmoil in the 1960s and '70s, particularly the rise of the New Left in France and the development of socialist movements in Latin America.",2.727,0.0,"Documentary, War, History",,1977-11-23,0.0,180.0,"en, es, fr",7.722,18.0,"Iskra, Dovidis",FR,"English, Spanish, French",0,Chris Marker,Chris Marker
tt0122770,7.8,1690,2022-05-29,The Valley of the Bees,1968,Údolí včel,cs,"Cast out by his father, young Ondrej joins the Order of the Teutonic Knights, where he is raised by strict monk Armin. After years of hardship, Ondrej escapes from the Order when he is wrongly punished, and sets out for his former home.  Arriving to discover his father to be dead, Armin now not only assumes control of his fathers properties, but seeks to marry his former stepmother.",1.816,0.0,"Drama, History",,1968-05-17,0.0,97.0,cs,7.076,33.0,Filmové studio Barrandov,XC,Czech,0,Frantisek Vlácil,
tt0249241,8.0,14381,2022-05-29,Werckmeister Harmonies,2000,Werckmeister harmóniák,hu,"This story takes place in a small town on the Hungarian Plain. In a provincial town, which is surrounded with nothing else but frost. It is bitterly cold weather — without snow. Even in this bewildered cold hundreds of people are standing around the circus tent, which is put up in the main square, to see — as the outcome of their wait — the chief attraction, the stuffed carcass of a real whale. The people are coming from everywhere. From the neighboring settlings, even from quite far away parts of the country. They are following this clumsy monster as a dumb, faceless, rag-wearing crowd. This strange state of affairs — the appearance of the foreigners, the extreme frost — disturbs the order of the small town. Ambitious personages of the story feel they can take advantage of this situation. The tension growing to the unbearable is brought to explosion by the figure of the Prince, who is pretending facelessness. Even his mere appearance is enough to break loose destructive emotions...",8.291,0.0,Drama,,2000-07-12,25461.0,139.0,"hu, sk",7.9,244.0,"ARTE, Studio Babelsberg, RAI, ZDF, Von Vietinghoff Filmproduktion (VVF), 13 Productions, Magyar Mozgókép Alapítvány, Fondazione Montecinemaverita, Goëss Film, Magyar Televízió Müvelödési Föszerkesztöség (MTV) (I), Nemzeti Kultúrális Alapprogram, Országos Rádió és Televízió Testület (ORTT)","FR, DE, HU, IT","Hungarian, Slovak",0,,
tt0111341,8.3,11255,2022-05-29,Satantango,1994,Sátántangó,hu,"Inhabitants of a small village in Hungary deal with the effects of the fall of Communism. The town's source of revenue, a factory, has closed, and the locals, who include a doctor and three couples, await a cash payment offered in the wake of the shuttering. Irimias, a villager thought to be dead, returns and, unbeknownst to the locals, is a police informant. In a scheme, he persuades the villagers to form a commune with him.",7.268,1500000.0,Drama,,1994-02-08,0.0,432.0,hu,8.218,204.0,"TSR, Von Vietinghoff Filmproduktion (VVF), Vega Film, Mozgókép Innovációs Társulás és Alapítvány, Magyar Televízió","DE, HU, CH",Hungarian,0,Béla Tarr,
tt0083199,7.4,909,2022-05-29,Dangerous Encounters of the First Kind,1980,第一類型危險,cn,A sociopathic beauty urges three nerdy pranksters to embark on a deranged rampage.,2.085,0.0,"Action, Crime, Thriller",,1980-12-04,0.0,95.0,"en, cn",7.0,21.0,Fotocine Film Production Limited,HK,"English, Cantonese",0,Hark Tsui,
tt10746342,8.3,1767,2022-06-03,Our Planet,2019,Our Planet: Behind The Scenes,en,Years spent recording footage of creatures from every corner of the globe is bound to produce a bit of drama. Here's a behind-the-scenes look.,11.343,0.0,Documentary,https://www.netflix.com/title/81082125,2019-04-05,0.0,63.0,en,7.764,36.0,Silverback Films,"US, GB",English,0,,
tt0399295,7.6,318215,2022-06-09,Lord of War,2005,Lord of War,en,"Yuri Orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless Interpol agent, his business rivals and even some of his customers who include many of the world's most notorious dictators. Finally, he must also face his own conscience.",28.182,50000000.0,"Crime, Drama, Thriller",,2005-09-16,72617068.0,122.0,"ar, de, en, fr, ru, es, uk, tr",7.262,3916.0,"Metro-Goldwyn-Mayer, VIP Medienfonds 3, Saturn Films, Ascendant Pictures, Endgame Entertainment, Entertainment Manufacturing Company, Rising Star, Copag V, Majority Entertainment","FR, US, DE","Arabic, German, English, French, Russian, Spanish, Ukrainian, Turkish",0,Andrew Niccol,Andrew Niccol
tt11003218,6.9,73858,2022-06-09,Pig,2021,Pig,en,A truffle hunter who lives alone in the Oregon wilderness must visit Portland to find the mysterious person who stole his beloved foraging pig.,33.163,0.0,"Drama, Thriller",https://neonrated.com/films/pig,2021-07-16,3889432.0,91.0,en,6.678,888.0,"Saturn Films, Escape Artists, AI-Film, Pulse Films, Sweet Tomato Films, Endeavor Content, Valparaiso Pictures, Hungry Bull Productions, BlockBox Entertainment","GB, US",English,0,Michael Sarnoski,
tt6998518,6.5,79809,2022-06-09,Mandy,2018,Mandy,en,"The Shadow Mountains, 1983. Red and Mandy lead a loving and peaceful existence; but when their pine-scented haven is savagely destroyed, Red is catapulted into a phantasmagoric journey filled with bloody vengeance and laced with fire.",21.584,6000000.0,"Horror, Action, Thriller, Fantasy",,2018-09-13,1214525.0,122.0,en,6.217,1566.0,"XYZ Films, Wallimage, uMedia, Piccadilly Pictures, SpectreVision, Legion M","US, BE",English,0,Panos Cosmatos,
tt0201450,7.0,329,2022-06-09,Bang Bang,1971,Bang Bang,pt,"An anonymous urban protagonist experiences a series of absurd situations--including a crazy cab ride, an encounter with a wacky criminal gang, and lots of gunplay--infused with a unique anarchic energy, eventually suggesting our true animal nature.",1.4,0.0,"Comedy, Fantasy",,1971-02-11,0.0,80.0,pt,7.3,11.0,Total Filmes,BR,Portuguese,0,Andrea Tonacci,Andrea Tonacci
tt0049406,8.0,90367,2022-06-09,The Killing,1956,The Killing,en,"Career criminal Johnny Clay recruits a sharpshooter, a crooked police officer, a bartender and a betting teller named George, among others, for one last job before he goes straight and gets married. But when George tells his restless wife about the scheme to steal millions from the racetrack where he works, she hatches a plot of her own.",12.907,320000.0,"Crime, Drama, Thriller",,1956-06-06,0.0,85.0,en,7.679,1185.0,"United Artists, Harris-Kubrick Productions",US,English,0,Stanley Kubrick,
tt0049902,8.3,22538,2022-06-09,A Man Escaped,1956,Un condamné à mort s'est échappé,fr,A captured French Resistance fighter during World War II engineers a daunting escape from prison.,8.822,0.0,"Thriller, Drama, War, History",,1956-11-11,0.0,101.0,"de, fr",7.985,394.0,"Gaumont, Nouvelles Éditions de Films (NEF)",FR,"German, French",0,Robert Bresson,
